Case Number,City,Zip,Date Filed,Date Closed,Case Type,Type of Complaint,Case Disposition,Location
34085,Rockville,20852,09/19/2013,10/17/2013,OLTA-TMF,Security Deposit,Acceptable explanation,"Rockville 20852
(39.050009, -77.125351)"
32781,Silver Spring,20901,09/14/2011,09/20/2011,OLTA-TMF,Security Deposit,Refund (payments/deposits),"Silver Spring 20901
(39.020211, -77.009764)"
41171,SILVER SPRING,20910,01/27/2021,05/05/2021,OLTA-TMF,Lease Agreement Tenant Rights,Acceptable explanation,"SILVER SPRING 20910
(39.001851, -77.034885)"
30998,Silver Spring,20910,07/29/2009,08/11/2009,OLTA-TMF,Security Deposit,Acceptable explanation,"Silver Spring 20910
(39.001851, -77.034885)"
35832,Mont. Village,20886,05/04/2016,05/10/2016,OLTA-TSF,Fee,Other referral (private attorney/legal aid/etc.),"Mont. Village 20886
(39.179257, -77.193738)"
36324,North Bethesda,20852,01/09/2017,05/10/2017,OLTA-TMF,Security Deposit,Settlement Agreement,"North Bethesda 20852
(39.050009, -77.125351)"
40885,SILVER SPRING,20906,08/12/2020,08/13/2020,OLTA-TSF,Eviction,Refund (payments/deposits),"SILVER SPRING 20906
(39.083452, -77.060664)"
32858,North Potomac,20850,10/11/2011,11/14/2011,OLTA-TMF,Security Deposit,Refund (payments/deposits),"North Potomac 20850
(39.092462, -77.178614)"
39916,POOLESVILLE,20837,04/18/2019,04/30/2019,OLTA-TSF,Lease Agreement,No jurisdiction,"POOLESVILLE 20837
(39.121439, -77.402558)"
34947,Silver Spring,20905,01/02/2015,02/20/2015,OLTA-TSF,Security Deposit,Acceptable explanation,"Silver Spring 20905
(39.10859, -76.99368)"
39912,GERMANTOWN,20874,04/17/2019,06/12/2019,OLTA-TMF,Rent Payment History,Acceptable explanation,"GERMANTOWN 20874
(39.158483, -77.280856)"
33053,Silver Spring,20910,01/17/2012,03/01/2012,OLTA-TMF,Harassment,Acceptable explanation,"Silver Spring 20910
(39.001851, -77.034885)"
41609,GERMANTOWN,20876,09/22/2021,03/16/2022,OLTA-TSF,Security Deposit,Settlement Agreement,"GERMANTOWN 20876
(39.198155, -77.240725)"
41635,SILVER SPRING,20904,09/30/2021,11/15/2021,OLTA-TMF,Rent Payment History,Service performed or corrected,"SILVER SPRING 20904
(39.066507, -76.979098)"
41679,SILVER SPRING,20910,10/19/2021,10/20/2021,OLTA-TMF,Maintenance - Appliance,Refer to Code Enforcement,"SILVER SPRING 20910
(39.001851, -77.034885)"
34385,Germantown,20874,03/27/2014,04/12/2014,OLTA-TSF,Security Deposit,Acceptable explanation,"Germantown 20874
(39.158483, -77.280856)"
30855,Potomac,20854,05/27/2009,06/24/2009,OLTA-TSF,Security Deposit,Refund (payments/deposits),"Potomac 20854
(39.038266, -77.203413)"
38419,SILVER SPRING,20901,08/15/2018,11/15/2018,OLTA-TMF,Fee,Acceptable explanation,"SILVER SPRING 20901
(39.020211, -77.009764)"
39451,SILVER SPRING,20906,08/31/2018,07/30/2019,OLTA-MCMF,Quit and Vacate,Other- no communication from tenant,"SILVER SPRING 20906
(39.083452, -77.060664)"
36006,Bethesda,20817,07/28/2016,11/16/2016,OLTA-TSF,Security Deposit,Refund (payments/deposits),"Bethesda 20817
(38.998099, -77.143306)"
35281,Clarksburg,20871,07/10/2015,09/08/2015,OLTA-TSF,Security Deposit,Settlement Agreement,"Clarksburg 20871
(39.250697, -77.27543)"
41613,GERMANTOWN,20874,09/22/2021,09/28/2021,OLTA-TMF,Maintenance- General,Referred to a Montgomery County Agency,"GERMANTOWN 20874
(39.158483, -77.280856)"
35378,Bethesda,20814,08/18/2015,10/29/2015,OLTA-TSF,Security Deposit,Complaint withdrawn,"Bethesda 20814
(39.003061, -77.102949)"
39633,MONTGOMERY VILLAGE,20886,11/19/2018,11/23/2018,OLTA-TSF,Notice to Vacate,Lease completion,"MONTGOMERY VILLAGE 20886
(39.179257, -77.193738)"
30721,Bethesda,20817,03/06/2009,03/06/2009,OLTA-TSF,Maintenance - Appliance,Referred to a Montgomery County Agency,"Bethesda 20817
(38.998099, -77.143306)"
36745,Silver Spring,20906,09/18/2017,09/22/2017,OLTA-TMF,Security Deposit,No jurisdiction,"Silver Spring 20906
(39.083452, -77.060664)"
35700,Silver Spring,20904,02/16/2016,04/30/2016,OLTA-TMF,Maintenance- General,Service performed or corrected,"Silver Spring 20904
(39.066507, -76.979098)"
45231,ROCKVILLE,20852,06/24/2022,09/21/2022,OLTA-TSF,Fee,Complaint noted for the record,"ROCKVILLE 20852
(39.050009, -77.125351)"
30712,Montgomery Village,20886,03/03/2009,04/23/2009,OLTA-TMF,Security Deposit,Acceptable explanation,"Montgomery Village 20886
(39.179257, -77.193738)"
31287,Silver Spring,20901,12/03/2009,12/15/2009,OLTA-TMF,Security Deposit,Refund (payments/deposits),"Silver Spring 20901
(39.020211, -77.009764)"
39797,ROCKVILLE,20852,02/25/2019,12/30/2019,OLTA-TMF,Quit and Vacate,Service performed or corrected,"ROCKVILLE 20852
(39.050009, -77.125351)"
38125,MONTGOMERY VILLAGE,20886,03/23/2018,05/10/2018,OLTA-TMF,Security Deposit,Settlement Agreement,"MONTGOMERY VILLAGE 20886
(39.179257, -77.193738)"
33225,Dickerson,20842,05/11/2012,06/29/2012,OLTA-TSF,Lease Agreement,Service performed or corrected,"Dickerson 20842
(39.209901, -77.420537)"
31594,Silver Spring,20910,04/08/2010,06/21/2010,OLTA-TMF,No Jurisdiction - Tenant Vs. Tenant,Other referral (private attorney/legal aid/etc.),"Silver Spring 20910
(39.001851, -77.034885)"
45360,ROCKVILLE,20852,08/26/2022,09/27/2022,OLTA-TMF,Rent Increase,Other- no communication from tenant,"ROCKVILLE 20852
(39.050009, -77.125351)"
38440,GERMANTOWN,20874,08/22/2018,10/04/2018,OLTA-LMF,Maintenance - Infestation,Other- no communication from tenant,"GERMANTOWN 20874
(39.158483, -77.280856)"
33857,Silver Spring,20904,05/10/2013,05/23/2013,OLTA-TMF,Rent Increase,Acceptable explanation,"Silver Spring 20904
(39.066507, -76.979098)"
32590,Silver Spring,20910,06/21/2011,07/13/2011,OLTA-TMF,Quit and Vacate,Acceptable explanation,"Silver Spring 20910
(39.001851, -77.034885)"
32105,Silver Spring,20901,10/27/2010,10/27/2010,OLTA-TMF,Rent Increase,Complaint noted for the record,"Silver Spring 20901
(39.020211, -77.009764)"
39692,GERMANTOWN,20874,01/03/2019,01/31/2019,OLTA-TMF,Security Deposit,Acceptable explanation,"GERMANTOWN 20874
(39.158483, -77.280856)"
41451,SILVER SPRING,20906,07/16/2021,08/02/2021,OLTA-LSF,Maintenance- General,Complaint withdrawn,"SILVER SPRING 20906
(39.083452, -77.060664)"
32562,Gaithersburg,20886,06/06/2011,08/08/2011,OLTA-TMF,Maintenance - Appliance,Settlement Agreement,"Gaithersburg 20886
(39.179257, -77.193738)"
36626,Silver Spring,20902,07/20/2017,07/26/2017,OLTA-LSF,Failure to Pay Rent,Referred to a MD State Government agency,"Silver Spring 20902
(39.042613, -77.046758)"
31451,Potomac,20854,02/23/2010,04/06/2010,OLTA-TSF,Security Deposit,Referred to Landlord-Tenant Commission,"Potomac 20854
(39.038266, -77.203413)"
41756,SILVER SPRING,20906,11/16/2021,11/23/2021,OLTA-LSF,Rent Payment History,No jurisdiction,"SILVER SPRING 20906
(39.083452, -77.060664)"
35145,Germantown,20874,05/01/2015,05/05/2015,OLTA-TMF,Maintenance- General,Referred to a Montgomery County Agency,"Germantown 20874
(39.158483, -77.280856)"
32374,Silver Spring,20910,02/25/2011,03/03/2011,OLTA-LSF,Rent Payment History,Referred to a MD State Government agency,"Silver Spring 20910
(39.001851, -77.034885)"
39842,SILVER SPRING,20904,03/18/2019,05/02/2019,OLTA-TSF,Security Deposit,Settlement Agreement,"SILVER SPRING 20904
(39.066507, -76.979098)"
41269,SILVER SPRING,20906,08/13/2021,10/06/2021,OLTA-TSF,Security Deposit,Referred to Landlord-Tenant Commission,"SILVER SPRING 20906
(39.083452, -77.060664)"
34712,Silver Spring,20902,09/12/2014,09/17/2014,OLTA-LMF,Lease Agreement,Referred to a MD State Government agency,"Silver Spring 20902
(39.042613, -77.046758)"
33950,Gaithersburg,20879,07/09/2013,10/30/2013,OLTA-TSF,Lease Agreement,Complaint withdrawn,"Gaithersburg 20879
(39.169098, -77.182742)"
31499,Chevy Chase,20815,03/05/2010,04/28/2010,OLTA-TSF,Lease Agreement,Complaint withdrawn,"Chevy Chase 20815
(38.982537, -77.079131)"
40049,GERMANTOWN,20874,06/13/2019,06/19/2019,OLTA-TSF,Lease Agreement,Complaint noted for the record,"GERMANTOWN 20874
(39.158483, -77.280856)"
47838,SILVER SPRING,20901,02/27/2023,03/31/2023,OLTA-TMF,Harassment,Goods delivered or replaced,"SILVER SPRING 20901
(39.00324, -77.00526)"
39705,GERMANTOWN,20874,01/08/2019,04/17/2019,OLTA-TMF,Maintenance - Water Damages,Lease provision honored,"GERMANTOWN 20874
(39.158483, -77.280856)"
36106,North Bethesda,20852,09/16/2016,09/20/2016,OLTA-TMF,Lease Agreement,Service performed or corrected,"North Bethesda 20852
(39.050009, -77.125351)"
33017,Silver Spring,20906,01/04/2012,01/30/2012,OLTA-TMF,Rent Payment History,Referred to a Montgomery County Agency,"Silver Spring 20906
(39.083452, -77.060664)"
34206,Rockville,20852,11/21/2013,11/22/2013,OLTA-TMF,Security Deposit,Acceptable explanation,"Rockville 20852
(39.050009, -77.125351)"
47695,GAITHERSBURG,20877,01/13/2023,02/22/2023,OLTA-TMF,Lease Agreement,Acceptable explanation,"GAITHERSBURG 20877
(39.14033, -77.19373)"
31828,Silver Spring,20901,07/21/2010,09/02/2010,OLTA-TMF,Maintenance - Infestation,Referred to a Montgomery County Agency,"Silver Spring 20901
(39.020211, -77.009764)"
40092,BETHESDA,20814,07/10/2019,09/26/2019,OLTA-TMF,Security Deposit,Complaint withdrawn,"BETHESDA 20814
(39.003061, -77.102949)"
40233,SILVER SPRING,20910,09/03/2019,02/06/2020,OLTA-TSF,Security Deposit,Refund (payments/deposits),"SILVER SPRING 20910
(39.001851, -77.034885)"
33884,Silver Spring,20910,05/28/2013,05/31/2013,OLTA-TMF,Quit and Vacate,Service performed or corrected,"Silver Spring 20910
(39.001851, -77.034885)"
38086,SILVER SPRING,20910,02/28/2018,06/29/2018,OLTA-TMF,Lease Agreement,Referred to Landlord-Tenant Commission,"SILVER SPRING 20910
(39.001851, -77.034885)"
30282,Silver Spring,20910,07/21/2008,09/09/2008,OLTA-TMF,Maintenance- General,Refund (payments/deposits),"Silver Spring 20910
(39.001851, -77.034885)"
36129,Montpelier,20708,09/27/2016,09/27/2016,OLTA-TMF,Fee,Non-jurisdiction-Geographic Location,"Montpelier 20708
(39.053112, -76.838248)"
37913,Silver Spring,20906,11/24/2017,01/16/2018,OLTA-TMF,Quit and Vacate,Acceptable explanation,"Silver Spring 20906
(39.083452, -77.060664)"
31865,Bethesda,20816,08/04/2010,08/09/2010,OLTA-TSF,Lease Agreement,Service performed or corrected,"Bethesda 20816
(38.958638, -77.115455)"
34529,Silver Spring,20902,06/06/2014,06/23/2014,OLTA-TSF,Lease Agreement,Acceptable explanation,"Silver Spring 20902
(39.042613, -77.046758)"
38112,MONTGOMERY VILLAGE,20886,03/14/2018,05/18/2018,OLTA-TSF,Security Deposit,Refund/Rent Credit,"MONTGOMERY VILLAGE 20886
(39.179257, -77.193738)"
40695,SILVER SPRING,20904,03/24/2020,04/23/2020,OLTA-TMF,Money Damage - General,Acceptable explanation,"SILVER SPRING 20904
(39.066507, -76.979098)"
35463,Silver Spring,20910,09/29/2015,09/30/2015,OLTA-TSF,Security Deposit,Refund (payments/deposits),"Silver Spring 20910
(39.001851, -77.034885)"
38019,Silver Spring,20910,01/24/2018,01/25/2018,OLTA-TMF,Security Deposit,Referred to a MD State Government agency,"Silver Spring 20910
(39.001851, -77.034885)"
30494,Silver Spring,20904,11/05/2008,12/19/2008,OLTA-TMF,Ratio Utility Billing,Refund (payments/deposits),"Silver Spring 20904
(39.066507, -76.979098)"
40677,SILVER SPRING,20906,03/12/2020,12/31/2020,OLTA-TMF,Quit and Vacate,Service performed or corrected,"SILVER SPRING 20906
(39.083452, -77.060664)"
39699,GERMANTOWN,20874,01/02/2019,03/12/2019,OLTA-TMF,Fee,Refund/Rent Credit,"GERMANTOWN 20874
(39.158483, -77.280856)"
36416,Silver Spring,20901,03/01/2017,06/14/2017,OLTA-TMF,Lease Agreement,Complaint withdrawn,"Silver Spring 20901
(39.020211, -77.009764)"
33457,Silver Spring,20901,09/19/2012,09/26/2012,OLTA-TMF,Security Deposit,Refund (payments/deposits),"Silver Spring 20901
(39.020211, -77.009764)"
46551,ROCKVILLE,20852,11/03/2022,03/07/2023,OLTA-TMF,Rent Increase,Refund/Rent Credit,"ROCKVILLE 20852
(39.04539, -77.11398)"
47673,SILVER SPRING,20906,01/09/2023,01/19/2023,OLTA-TMF,Security Deposit,Complaint noted for the record,"SILVER SPRING 20906
(39.06790870000003, -77.06834609999999)"
40775,SILVER SPRING,20904,05/29/2020,06/10/2020,OLTA-LSF,Money Damage - General,No jurisdiction,"SILVER SPRING 20904
(39.066507, -76.979098)"
30778,Gaithersburg,20886,04/14/2009,05/15/2009,OLTA-TMF,Maintenance - Appliance,Acceptable explanation,"Gaithersburg 20886
(39.179257, -77.193738)"
33402,Silver Spring,20902,08/28/2012,09/27/2012,OLTA-TMF,Quit and Vacate,Service performed or corrected,"Silver Spring 20902
(39.042613, -77.046758)"
31412,Gaithersburg,20879,02/01/2010,03/26/2010,OLTA-TMF,Quit and Vacate,Acceptable explanation,"Gaithersburg 20879
(39.169098, -77.182742)"
32547,Chevy Chase,20815,05/31/2011,06/10/2011,OLTA-TSF,Security Deposit,Refund (payments/deposits),"Chevy Chase 20815
(38.982537, -77.079131)"
34414,Silver Spring,20910,04/15/2014,05/22/2014,OLTA-TMF,Security Deposit,Refund (payments/deposits),"Silver Spring 20910
(39.001851, -77.034885)"
32196,North Bethesda,20852-6665,12/03/2010,01/05/2011,OLTA-TMF,Common Area Use,Refund/Rent Credit,"North Bethesda 20852-6665
(39.050009, -77.125351)"
34165,Germantown,20874,10/29/2013,11/12/2013,OLTA-LSF,Maintenance - Mold/Mildew,Acceptable explanation,"Germantown 20874
(39.158483, -77.280856)"
41408,GERMANTOWN,20874,06/14/2021,06/17/2021,OLTA-TMF,Maintenance - Plumbing,Refer to Code Enforcement,"GERMANTOWN 20874
(39.158483, -77.280856)"
38355,SILVER SPRING,20906,07/20/2018,07/25/2018,OLTA-LSF,Common Area Use,Non-jurisdiction-Room Rental,"SILVER SPRING 20906
(39.083452, -77.060664)"
36425,Silver Spring,20902,03/08/2017,03/17/2017,OLTA-TMF,Quit and Vacate,Acceptable explanation,"Silver Spring 20902
(39.042613, -77.046758)"
39815,KENSINGTON,20895,03/04/2019,11/06/2019,OLTA-TSF,Rent Payment History,Dismissed by Landlord-Tenant Commission,"KENSINGTON 20895
(39.027698, -77.077422)"
32364,Olney,20832,02/25/2011,04/20/2011,OLTA-TSF,Security Deposit,Settlement Agreement,"Olney 20832
(39.152328, -77.073205)"
34072,Chevy Chase,20815,09/19/2013,11/21/2013,OLTA-TSF,Lease Agreement,Referred to a MD State Government agency,"Chevy Chase 20815
(38.982537, -77.079131)"
32810,Silver Spring,20906,09/23/2011,10/31/2011,OLTA-TMF,Rent Payment History,Acceptable explanation,"Silver Spring 20906
(39.083452, -77.060664)"
40246,ROCKVILLE,20852,09/05/2019,09/27/2019,OLTA-TMF,Harassment,Acceptable explanation,"ROCKVILLE 20852
(39.050009, -77.125351)"
35505,Mont. Village,20886,10/19/2015,10/27/2015,OLTA-TMF,Security Deposit,Refund/Rent Credit,"Mont. Village 20886
(39.179257, -77.193738)"
32074,Chevy Chase,20815,10/15/2010,12/06/2010,OLTA-LEASE REVIEW,Lease Agreement,Lease completion,"Chevy Chase 20815
(38.982537, -77.079131)"
35033,Silver Spring,20910,02/20/2015,03/04/2015,OLTA-TMF,Fee,Referred to a Montgomery County Agency,"Silver Spring 20910
(39.001851, -77.034885)"
45350,GERMANTOWN,20874,08/23/2022,08/23/2022,OLTA-TMF,Rent Increase,Complaint noted for the record,"GERMANTOWN 20874
(39.158483, -77.280856)"
32657,Rockville,20853,07/22/2011,09/22/2011,OLTA-TSF,Reduction in Services,Acceptable explanation,"Rockville 20853
(39.096485, -77.092945)"
32059,Bethesda,20814,10/08/2010,11/30/2010,OLTA-TSF,Security Deposit,Referred to Landlord-Tenant Commission,"Bethesda 20814
(39.003061, -77.102949)"
41122,SILVER SPRING,20904,12/18/2020,03/01/2021,OLTA-TMF,Lease Agreement,Service performed or corrected,"SILVER SPRING 20904
(39.066507, -76.979098)"
35100,Burtonsville,20866,04/01/2015,04/02/2015,OLTA-LSF,Failure to Pay Rent,Referred to a MD State Government agency,"Burtonsville 20866
(39.103016, -76.935049)"
34231,Wheaton,20902,12/13/2013,12/17/2013,OLTA-TMF,Rent Payment History,Referred to a Federal agency,"Wheaton 20902
(39.042613, -77.046758)"
35119,Silver Spring,20905,04/08/2015,04/14/2015,OLTA-TSF,Security Deposit,Lease completion,"Silver Spring 20905
(39.10859, -76.99368)"
36318,North Bethesda,20852,01/09/2017,06/01/2017,OLTA-TMF,N/A,Acceptable explanation,"North Bethesda 20852
(39.050009, -77.125351)"
40097,SILVER SPRING,20906,07/10/2019,12/11/2019,OLTA-TMF,Maintenance - Mold/Mildew,Acceptable explanation,"SILVER SPRING 20906
(39.083452, -77.060664)"
33096,Silver Spring,20910,02/13/2012,04/19/2012,OLTA-LEASE REVIEW,Lease Review,Lease completion,"Silver Spring 20910
(39.001851, -77.034885)"
32783,Silver Spring,20902,09/14/2011,07/14/2011,OLTA-TSF,Maintenance- General,Service performed or corrected,"Silver Spring 20902
(39.042613, -77.046758)"
30308,Takoma Park,20912,08/05/2008,08/06/2008,OLTA-TMF,Maintenance- General,Acceptable explanation,"Takoma Park 20912
(38.982019, -77.000534)"
36050,Silver Spring,20906,08/26/2016,11/21/2016,OLTA-TMF,Maintenance - Infestation,Acceptable explanation,"Silver Spring 20906
(39.083452, -77.060664)"
31584,Silver Spring,20901,04/08/2010,04/29/2010,OLTA-TSF,Lease Agreement Tenant Rights,Acceptable explanation,"Silver Spring 20901
(39.020211, -77.009764)"
34919,North Bethesda,20852,12/24/2014,01/15/2015,OLTA-TMF,Security Deposit,Complaint withdrawn,"North Bethesda 20852
(39.050009, -77.125351)"
34748,Silver Spring,20904,09/24/2014,03/24/2015,OLTA-TSF,Fee,Complaint withdrawn,"Silver Spring 20904
(39.066507, -76.979098)"
34276,Takoma Park,20912,01/10/2014,01/28/2014,OLTA-TMF,Rent Payment History,Acceptable explanation,"Takoma Park 20912
(38.982019, -77.000534)"
41237,BETHESDA,20817,02/26/2021,06/03/2021,OLTA-TSF,Security Deposit,Settlement Agreement,"BETHESDA 20817
(38.998099, -77.143306)"
33746,Silver Spring,20902,03/14/2013,05/14/2013,OLTA-TSF,Security Deposit,Refund (payments/deposits),"Silver Spring 20902
(39.042613, -77.046758)"
35110,Burtonsville,20866,04/08/2015,08/24/2015,OLTA-TMF,Security Deposit,Referred to a MD State Government agency,"Burtonsville 20866
(39.103016, -76.935049)"
33428,Silver Spring,20904,09/10/2012,09/13/2012,OLTA-TMF,Lease Agreement,Referred to a Montgomery County Agency,"Silver Spring 20904
(39.066507, -76.979098)"
40966,SANDY SPRING,20860,09/25/2020,05/05/2021,OLTA-TSF,Security Deposit,Other- no communication from tenant,"SANDY SPRING 20860
(39.147799, -77.031225)"
40717,MONTGOMERY VILLAGE,20886,04/17/2020,05/27/2020,OLTA-TMF,Eviction,Refund (payments/deposits),"MONTGOMERY VILLAGE 20886
(39.179257, -77.193738)"
36114,Silver Spring,20904,09/23/2016,01/31/2017,OLTA-TMF,Security Deposit,Refund (payments/deposits),"Silver Spring 20904
(39.066507, -76.979098)"
36390,Germantown,20874,02/14/2017,09/22/2017,OLTA-TMF,Security Deposit,Acceptable explanation,"Germantown 20874
(39.158483, -77.280856)"
30420,Silver Spring,20904,09/29/2008,09/29/2008,OLTA-TMF,Application Deposit,Other- no communication from tenant,"Silver Spring 20904
(39.066507, -76.979098)"
39604,ROCKVILLE,20852,10/29/2018,11/16/2018,OLTA-TMF,Submetering,Acceptable explanation,"ROCKVILLE 20852
(39.050009, -77.125351)"
45271,SILVER SPRING,20910,07/08/2022,11/01/2022,OLTA-TMF,Other-Miscellaneous,Acceptable explanation,"SILVER SPRING 20910
(38.99693, -77.02914)"
36661,Silver Spring,20902,08/01/2017,08/09/2017,OLTA-TSF,Fee,Referred to a Montgomery County Agency,"Silver Spring 20902
(39.042613, -77.046758)"
34903,Silver Spring,20902,12/11/2014,12/14/2014,OLTA-TMF,Fee,Service performed or corrected,"Silver Spring 20902
(39.042613, -77.046758)"
38266,BURTONSVILLE,20866,06/13/2018,07/10/2018,OLTA-TSF,Lease Agreement,Acceptable explanation,"BURTONSVILLE 20866
(39.103016, -76.935049)"
35194,Germantown,20876,05/21/2015,08/11/2015,OLTA-TSF,Security Deposit,Referred to a MD State Government agency,"Germantown 20876
(39.198155, -77.240725)"
33800,Rockville,20850,04/15/2013,05/14/2013,OLTA-TSF,Maintenance- General,Complaint noted for the record,"Rockville 20850
(39.092462, -77.178614)"
30624,Silver Spring,20904,01/16/2009,03/10/2009,OLTA-TMF,Lease Agreement,Acceptable explanation,"Silver Spring 20904
(39.066507, -76.979098)"
40528,GERMANTOWN,20874,01/09/2020,09/22/2020,OLTA-TMF,Security Deposit,Referred to Landlord-Tenant Commission,"GERMANTOWN 20874
(39.158483, -77.280856)"
33639,Rockville,20853,01/14/2013,01/15/2013,OLTA-TSF,Maintenance - Heat,Non-jurisdiction-Room Rental,"Rockville 20853
(39.096485, -77.092945)"
38354,SILVER SPRING,20902,07/20/2018,09/04/2018,OLTA-TMF,Failure to Pay Rent,Settlement Agreement,"SILVER SPRING 20902
(39.042613, -77.046758)"
40863,MONTGOMERY VILLAGE,20886,07/31/2020,03/08/2021,OLTA-TMF,Rent Increase,Acceptable explanation,"MONTGOMERY VILLAGE 20886
(39.179257, -77.193738)"
31404,Gaithersburg,20879,01/27/2010,02/16/2010,OLTA-LSF,Failure to Pay Rent,Referred to a MD State Government agency,"Gaithersburg 20879
(39.169098, -77.182742)"
38437,GAITHERSBURG,20877,08/22/2018,09/14/2018,OLTA-LMF,Security Deposit,Refund (payments/deposits),"GAITHERSBURG 20877
(39.140752, -77.187359)"
